"BAQ080C.Code.or.Value","BAQ080C.Value.Description","BAQ080C.Count","BAQ080C.Cumulative","BAQ080C.Skip.to.Item"
"1","Yes",12,12,NA
"2","No",402,414,NA
"7","Refused",0,414,NA
"9","Don't know",1,415,NA
".","Missing",2770,3185,NA
