"DXDTRTOT.Code.or.Value","DXDTRTOT.Value.Description","DXDTRTOT.Count","DXDTRTOT.Cumulative","DXDTRTOT.Skip.to.Item"
"7291.2 to 95313.2","Range of Values",3903,3903,NA
".","Missing",1211,5114,NA
