"ECQ150.Code.or.Value","ECQ150.Value.Description","ECQ150.Count","ECQ150.Cumulative","ECQ150.Skip.to.Item"
"1","Yes",239,239,NA
"2","No",84,323,NA
"7","Refused",0,323,NA
"9","Don't know",0,323,NA
".","Missing",3280,3603,NA
