"DS2TPROT.Code.or.Value","DS2TPROT.Value.Description","DS2TPROT.Count","DS2TPROT.Cumulative","DS2TPROT.Skip.to.Item"
"0.17 to 80","Range of Values",135,135,NA
".","Missing",9203,9338,NA
