"AUXLR140.Code.or.Value","AUXLR140.Value.Description","AUXLR140.Count","AUXLR140.Cumulative","AUXLR140.Skip.to.Item"
"-12 to 57","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
