"LBXTC.Code.or.Value","LBXTC.Value.Description","LBXTC.Count","LBXTC.Cumulative","LBXTC.Skip.to.Item"
"68 to 704","Range of Values",7774,7774,NA
".","Missing",782,8556,NA
