"DR1IVARA.Code.or.Value","DR1IVARA.Value.Description","DR1IVARA.Count","DR1IVARA.Cumulative","DR1IVARA.Skip.to.Item"
"0 to 14320","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
