"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",2808,2808,NA
"1","Below lower detection limit",0,2808,NA
".","Missing",171,2979,NA
