"MCQ260GI.Code.or.Value","MCQ260GI.Value.Description","MCQ260GI.Count","MCQ260GI.Cumulative","MCQ260GI.Skip.to.Item"
"9","Other",95,95,NA
".","Missing",10375,10470,NA
