"AUXU6KR.Code.or.Value","AUXU6KR.Value.Description","AUXU6KR.Count","AUXU6KR.Cumulative","AUXU6KR.Skip.to.Item"
"-10 to 120","Range of Values",2177,2177,NA
"666","No response",9,2186,NA
"888","Could not obtain",16,2202,NA
".","Missing",166,2368,NA
