"DSQTCOPP.Code.or.Value","DSQTCOPP.Value.Description","DSQTCOPP.Count","DSQTCOPP.Cumulative","DSQTCOPP.Skip.to.Item"
"0 to 27.3","Range of Values",2007,2007,NA
".","Missing",8530,10537,NA
