"SSPFSAL.Code.or.Value","SSPFSAL.Value.Description","SSPFSAL.Count","SSPFSAL.Cumulative","SSPFSAL.Skip.to.Item"
"0","At or above the detection limit",17,17,NA
"1","Below lower detection limit",508,525,NA
".","Missing",0,525,NA
