"DR2IP205.Code.or.Value","DR2IP205.Value.Description","DR2IP205.Count","DR2IP205.Cumulative","DR2IP205.Skip.to.Item"
"0 to 1.412","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
