"PFD069K.Code.or.Value","PFD069K.Value.Description","PFD069K.Count","PFD069K.Cumulative","PFD069K.Skip.to.Item"
"14 to 27375","Range of Values",155,155,NA
"66666","Since birth",4,159,NA
"77777","Refused",0,159,NA
"99999","Don't know",1,160,NA
".","Missing",9485,9645,NA
