"WHD100S.Code.or.Value","WHD100S.Value.Description","WHD100S.Count","WHD100S.Cumulative","WHD100S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",148,148,NA
".","Missing",6741,6889,NA
