"DS1TVK.Code.or.Value","DS1TVK.Value.Description","DS1TVK.Count","DS1TVK.Cumulative","DS1TVK.Skip.to.Item"
"5 to 45000","Range of Values",917,917,NA
".","Missing",8896,9813,NA
