"MGXH2T3.Code.or.Value","MGXH2T3.Value.Description","MGXH2T3.Count","MGXH2T3.Cumulative","MGXH2T3.Skip.to.Item"
"5.1 to 82.8","Range of Values",7664,7664,NA
".","Missing",627,8291,NA
