"WBXP022.Code.or.Value","WBXP022.Value.Description","WBXP022.Count","WBXP022.Cumulative","WBXP022.Skip.to.Item"
"-28.0214 to 161.3082","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
