"WBXF001.Code.or.Value","WBXF001.Value.Description","WBXF001.Count","WBXF001.Cumulative","WBXF001.Skip.to.Item"
"226 to 226","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
