"DXXRLA.Code.or.Value","DXXRLA.Value.Description","DXXRLA.Count","DXXRLA.Cumulative","DXXRLA.Skip.to.Item"
"144.76 to 529.05","Range of Values",4861,4861,NA
".","Missing",919,5780,NA
