"HOQ065.Code.or.Value","HOQ065.Value.Description","HOQ065.Count","HOQ065.Cumulative","HOQ065.Skip.to.Item"
"1","Owned or being bought",5550,5550,NA
"2","Rented",4269,9819,NA
"3","Other arrangement",223,10042,NA
"7","Refused",11,10053,NA
"9","Don't know",1,10054,NA
".","Missing",121,10175,NA
