"DSQTSFAT.Code.or.Value","DSQTSFAT.Value.Description","DSQTSFAT.Count","DSQTSFAT.Cumulative","DSQTSFAT.Skip.to.Item"
"0 to 6","Range of Values",280,280,NA
".","Missing",10257,10537,NA
