"WTIREP17.Code.or.Value","WTIREP17.Value.Description","WTIREP17.Count","WTIREP17.Cumulative","WTIREP17.Skip.to.Item"
"0 to 237292.10154","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
