"ORXGL.Code.or.Value","ORXGL.Value.Description","ORXGL.Count","ORXGL.Cumulative","ORXGL.Skip.to.Item"
"1","Positive",4410,4410,NA
"2","Negative",0,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
