"URDOP2LC.Code.or.Value","URDOP2LC.Value.Description","URDOP2LC.Count","URDOP2LC.Cumulative","URDOP2LC.Skip.to.Item"
"0","At or above the detection limit",3017,3017,NA
"1","Below lower detection limit",6,3023,NA
".","Missing",182,3205,NA
