"WBXF017.Code.or.Value","WBXF017.Value.Description","WBXF017.Count","WBXF017.Cumulative","WBXF017.Skip.to.Item"
"577.6763 to 577.6763","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
