"TYXA101.Code.or.Value","TYXA101.Value.Description","TYXA101.Count","TYXA101.Cumulative","TYXA101.Skip.to.Item"
"0.09 to 7.728","Range of Values",8459,8459,NA
".","Missing",10,8469,NA
