"DR1IRET.Code.or.Value","DR1IRET.Value.Description","DR1IRET.Count","DR1IRET.Cumulative","DR1IRET.Skip.to.Item"
"0 to 9656","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
