"LBXF10LA.Code.or.Value","LBXF10LA.Value.Description","LBXF10LA.Count","LBXF10LA.Cumulative","LBXF10LA.Skip.to.Item"
"0.6 to 434","Range of Values",1849,1849,NA
".","Missing",436,2285,NA
