"DXXTRA.Code.or.Value","DXXTRA.Value.Description","DXXTRA.Count","DXXTRA.Cumulative","DXXTRA.Skip.to.Item"
"5.9 to 39.46","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
