"FFQ0063B.Code.or.Value","FFQ0063B.Value.Description","FFQ0063B.Count","FFQ0063B.Cumulative","FFQ0063B.Skip.to.Item"
1,"Almost never or never",2853,2853,NA
2,"About 1/4 of the time",1138,3991,NA
3,"About 1/2 of the time",862,4853,NA
4,"About 3/4 of the time",391,5244,NA
5,"Almost always or always",702,5946,NA
88,"Blank",522,6468,NA
99,"Error",4,6472,NA
