"LBDRBFSI.Code.or.Value","LBDRBFSI.Value.Description","LBDRBFSI.Count","LBDRBFSI.Cumulative","LBDRBFSI.Skip.to.Item"
"113.3 to 5125.7","Range of Values",8488,8488,NA
".","Missing",1441,9929,NA
