"URDMX3LC.Code.or.Value","URDMX3LC.Value.Description","URDMX3LC.Count","URDMX3LC.Cumulative","URDMX3LC.Skip.to.Item"
"0","At or above detection limit",2398,2398,NA
"1","Below lower detection limit",0,2398,NA
".","Missing",107,2505,NA
