"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.05 to 38.68","Range of Values",2690,2690,NA
".","Missing",114,2804,NA
