"MCQ365a.Code.or.Value","MCQ365a.Value.Description","MCQ365a.Count","MCQ365a.Cumulative","MCQ365a.Skip.to.Item"
"1","Yes",1709,1709,NA
"2","No",4617,6326,NA
"7","Refused",0,6326,NA
"9","Don't know",1,6327,NA
".","Missing",3248,9575,NA
