"PAD080.Code.or.Value","PAD080.Value.Description","PAD080.Count","PAD080.Cumulative","PAD080.Skip.to.Item"
"1 to 600","Range of Values",2259,2259,NA
"77777","Refused",0,2259,NA
"99999","Don't know",0,2259,NA
".","Missing",7835,10094,NA
