"DRXTFA.Code.or.Value","DRXTFA.Value.Description","DRXTFA.Count","DRXTFA.Cumulative","DRXTFA.Skip.to.Item"
"0 to 3756","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
