"URXMC1.Code.or.Value","URXMC1.Value.Description","URXMC1.Count","URXMC1.Cumulative","URXMC1.Skip.to.Item"
"0.1 to 389.1","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
