"LBCBHCLA.Code.or.Value","LBCBHCLA.Value.Description","LBCBHCLA.Count","LBCBHCLA.Cumulative","LBCBHCLA.Skip.to.Item"
"0.5657 to 899.5","Range of Values",295,295,NA
".","Missing",6,301,NA
