"LBDSGLSI.Code.or.Value","LBDSGLSI.Value.Description","LBDSGLSI.Count","LBDSGLSI.Cumulative","LBDSGLSI.Skip.to.Item"
"2.72 to 32.03","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
