"DRXTTFAT.Code.or.Value","DRXTTFAT.Value.Description","DRXTTFAT.Count","DRXTTFAT.Cumulative","DRXTTFAT.Skip.to.Item"
"0 to 428.23","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
