"DR2IPFAT.Code.or.Value","DR2IPFAT.Value.Description","DR2IPFAT.Count","DR2IPFAT.Cumulative","DR2IPFAT.Skip.to.Item"
"0 to 80.836","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
