"LBDHEG.Code.or.Value","LBDHEG.Value.Description","LBDHEG.Count","LBDHEG.Cumulative","LBDHEG.Skip.to.Item"
"1","Positive",537,537,NA
"2","Negative",6587,7124,NA
"3","Indeterminate",0,7124,NA
".","Missing",897,8021,NA
