"BIXC378K.Code.or.Value","BIXC378K.Value.Description","BIXC378K.Count","BIXC378K.Cumulative","BIXC378K.Skip.to.Item"
"7.2 to 149.2","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
