"MGXH2T1E.Code.or.Value","MGXH2T1E.Value.Description","MGXH2T1E.Count","MGXH2T1E.Cumulative","MGXH2T1E.Skip.to.Item"
"1","Maximal",7493,7493,NA
"2","Questionable",189,7682,NA
".","Missing",609,8291,NA
