"DIQ300S.Code.or.Value","DIQ300S.Value.Description","DIQ300S.Count","DIQ300S.Cumulative","DIQ300S.Skip.to.Item"
"80 to 201","Range of Values",539,539,NA
"7777","Refused",1,540,NA
"9999","Don't know",305,845,NA
".","Missing",8730,9575,NA
