"URDUDALC.Code.or.Value","URDUDALC.Value.Description","URDUDALC.Count","URDUDALC.Cumulative","URDUDALC.Skip.to.Item"
"0","At or above the detection limit",2199,2199,NA
"1","Below lower detection limit",377,2576,NA
".","Missing",144,2720,NA
