"DS1IIRON.Code.or.Value","DS1IIRON.Value.Description","DS1IIRON.Count","DS1IIRON.Cumulative","DS1IIRON.Skip.to.Item"
"0.068 to 300","Range of Values",765,765,NA
".","Missing",5193,5958,NA
