"HOQ080.Code.or.Value","HOQ080.Value.Description","HOQ080.Count","HOQ080.Cumulative","HOQ080.Skip.to.Item"
"1","Yes",2187,2187,NA
"2","No",7842,10029,NA
"7","Refused",0,10029,NA
"9","Don't know",26,10055,NA
".","Missing",94,10149,NA
