"SSIMIDLC.Code.or.Value","SSIMIDLC.Value.Description","SSIMIDLC.Count","SSIMIDLC.Cumulative","SSIMIDLC.Skip.to.Item"
"0","At or above the detection limit",116,116,NA
"1","Below lower detection limit",2289,2405,NA
".","Missing",33,2438,NA
