"DXXAGRAT.Code.or.Value","DXXAGRAT.Value.Description","DXXAGRAT.Count","DXXAGRAT.Cumulative","DXXAGRAT.Skip.to.Item"
"0.4 to 1.7","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
