"AUDTYR01.Code.or.Value","AUDTYR01.Value.Description","AUDTYR01.Count","AUDTYR01.Cumulative","AUDTYR01.Skip.to.Item"
"0 to 1.06","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
