"OHX25LAS.Code.or.Value","OHX25LAS.Value.Description","OHX25LAS.Count","OHX25LAS.Cumulative","OHX25LAS.Skip.to.Item"
"0 to 13","Range of Values",3344,3344,NA
"99","Cannot be assessed",742,4086,NA
".","Missing",951,5037,NA
