"WTIREP48.Code.or.Value","WTIREP48.Value.Description","WTIREP48.Count","WTIREP48.Cumulative","WTIREP48.Skip.to.Item"
"0 to 237147.54679","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
