"BPQ040B.Code.or.Value","BPQ040B.Value.Description","BPQ040B.Count","BPQ040B.Cumulative","BPQ040B.Skip.to.Item"
"1","Yes",771,771,NA
"2","No",904,1675,NA
"7","Refused",0,1675,NA
"9","Don't know",6,1681,NA
".","Missing",4953,6634,NA
