"DSQISUGR.Code.or.Value","DSQISUGR.Value.Description","DSQISUGR.Count","DSQISUGR.Cumulative","DSQISUGR.Skip.to.Item"
"0.13 to 128","Range of Values",1025,1025,NA
".","Missing",7260,8285,NA
