"PAQ759c.Code.or.Value","PAQ759c.Value.Description","PAQ759c.Count","PAQ759c.Cumulative","PAQ759c.Skip.to.Item"
"3","BOCCE BALL",5,5,NA
".","Missing",9250,9255,NA
