"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",268,268,""
"2","No",1759,2027,"DRD370U"
".","Missing",8450,10477,""
