"LBDBR4LC.Code.or.Value","LBDBR4LC.Value.Description","LBDBR4LC.Count","LBDBR4LC.Cumulative","LBDBR4LC.Skip.to.Item"
"0","At or above the detection limit",222,222,NA
"1","Below lower detection limit",29,251,NA
".","Missing",0,251,NA
