"LBDHCBLC.Code.or.Value","LBDHCBLC.Value.Description","LBDHCBLC.Count","LBDHCBLC.Cumulative","LBDHCBLC.Skip.to.Item"
"0","detectable result",125,125,NA
"1","below detectable limit",2152,2277,NA
".","Missing",270,2547,NA
