"DXXL2A.Code.or.Value","DXXL2A.Value.Description","DXXL2A.Count","DXXL2A.Cumulative","DXXL2A.Skip.to.Item"
"6.39 to 26.64","Range of Values",6650,6650,NA
".","Missing",1535,8185,NA
