"WTSPH52.Code.or.Value","WTSPH52.Value.Description","WTSPH52.Count","WTSPH52.Cumulative","WTSPH52.Skip.to.Item"
"0 to 783993.68521","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
