"HCQ230.Code.or.Value","HCQ230.Value.Description","HCQ230.Count","HCQ230.Cumulative","HCQ230.Skip.to.Item"
"1","True",22,22,NA
"2","False",3,25,NA
"7","Refused",1,26,NA
"9","Don't know",8,34,NA
".","Missing",44,78,NA
