"ORXH35.Code.or.Value","ORXH35.Value.Description","ORXH35.Count","ORXH35.Cumulative","ORXH35.Skip.to.Item"
"1","Positive",18,18,NA
"2","Negative",4706,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
